symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted,median_adv_usd
EOG,"EOG Resources, Inc.","EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, and natural gas and natural gas liquids. Its principal producing areas are in New Mexico and Texas in the United States; the Republic of Trinidad and Tobago; the People's Republic of China; and the Sultanate of Oman. As of December 31, 2020, it had total estimated net proved reserves of 3,220 million barrels of oil equivalent, including 1,514 million barrels (MMBbl) of crude oil and condensate reserves; 813 MMBbl of natural gas liquid reserves; and 5,360 billion cubic feet of natural gas reserves. The company was formerly known as Enron Oil & Gas Company. EOG Resources, Inc. was incorporated in 1985 and is headquartered in Houston, Texas.",USD,Energy,Energy,"Oil, Gas & Consumable Fuels",NYQ,XNYS,New York Stock Exchange,United States,TX,Houston,77002,http://www.eogresources.com,Large Cap,US26875P1012,26875P101,BBG000BZ9367,BBG000BZ9223,BBG001S5ZB93,False,241348775.24375916
VLO,Valero Energy Corporation,"Valero Energy Corporation manufactures, markets, and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company is involved in oil and gas refining, marketing, and bulk selling activities. It produces conventional, premium, and reformulated gasolines; gasoline meeting the specifications of the California Air Resources Board (CARB); diesel fuels, low-sulfur and ultra-low-sulfur diesel fuels; CARB diesel; other distillates; jet fuels; blendstocks; lube oils and natural gas liquids; and asphalts, petrochemicals, lubricants, and other refined petroleum products. As of December 31, 2020, the company owned 15 petroleum refineries with a combined throughput capacity of approximately 3.2 million barrels per day. It sells its refined products through wholesale rack and bulk markets; and through approximately 7,000 outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brands. The company also produces and sells ethanol, dry distiller grains, syrup, and inedible corn oil primarily to refiners and gasoline blenders, as well as to animal feed customers. It owns and operates 13 ethanol plants with a combined ethanol production capacity of approximately 1.69 billion gallons per year. In addition, the company owns and operates crude oil and refined petroleum products pipelines, terminals, tanks, marine docks, truck rack bays, and other logistics assets. Further, it owns and operates a plant that processes animal fats, used cooking oils, and other vegetable oils into renewable diesel. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas.",USD,Energy,Energy,"Oil, Gas & Consumable Fuels",NYQ,XNYS,New York Stock Exchange,United States,TX,San Antonio,78249,http://www.valero.com,Large Cap,US91913Y1001,91913Y100,BBG000BBGKP3,BBG000BBGGQ1,BBG001S5X8K9,False,235021388.28544617
AMT,American Tower Corporation,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of approximately 181,000 communications sites.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,XNYS,New York Stock Exchange,United States,MA,Boston,2116,http://www.americantower.com,Large Cap,US03027X1000,03027X100,BBG000B9Y214,BBG000B9XYV2,BBG001S5NPQ6,False,233367029.36782837
USB,U.S. Bancorp,"U.S. Bancorp, a financial services holding company, provides various financial services in the United States. It operates in Corporate and Commercial Banking, Consumer and Business Banking, Wealth Management and Investment Services, Payment Services, and Treasury and Corporate Support segments. The company offers depository services, including checking accounts, savings accounts, and time certificate contracts; lending services, such as traditional credit products; and credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products. It also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. In addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. Further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as cash and investment management, ATM processing, mortgage banking, and brokerage and leasing services. As of December 31, 2020, the company provided its products and services through a network of 2,434 banking offices principally operating in the Midwest and West regions of the United States, as well as through online services and over mobile devices; and operated a network of 4,232 ATMs. The company was founded in 1863 and is headquartered in Minneapolis, Minnesota.",USD,Financials,Banks,Banks,NYQ,XNYS,New York Stock Exchange,United States,MN,Minneapolis,55402,http://www.usbank.com,Large Cap,,902973304,BBG000FFFQT4,BBG000FFDM15,BBG001S6T8C1,False,232751693.9081192
LVS,Las Vegas Sands Corp.,"Las Vegas Sands Corp., together with its subsidiaries, develops, owns, and operates integrated resorts in Asia and the United States. It owns and operates The Venetian Macao Resort Hotel, the Londoner Macao, The Parisian Macao, The Plaza Macao and Four Seasons Hotel Macao, Cotai Strip, and the Sands Macao in Macao, the People's Republic of China; and Marina Bay Sands in Singapore. The company also owns and operates The Venetian Resort Hotel Casino on the Las Vegas Strip; and the Sands Expo and Convention Center in Las Vegas, Nevada. Its integrated resorts feature accommodations, gaming, entertainment and retail malls, convention and exhibition facilities, celebrity chef restaurants, and other amenities. Las Vegas Sands Corp. was founded in 1988 and is based in Las Vegas, Nevada.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NYQ,XNYS,New York Stock Exchange,United States,NV,Las Vegas,89109,http://www.sands.com,Large Cap,US5178341070,517834107,BBG000JWDCN2,BBG000JWD753,BBG001SJCGP9,False,232235485.60562134
HUM,Humana Inc.,"Humana Inc., together with its subsidiaries, operates as a health and well-being company in the United States. It operates through Retail, Group and Specialty, and Healthcare Services segments. The company offers medical and supplemental benefit plans to individuals. It also has a contract with Centers for Medicare and Medicaid Services to administer the Limited Income Newly Eligible Transition prescription drug plan program; and contracts with various states to provide Medicaid, dual eligible, and long-term support services benefits. In addition, the company provides commercial fully-insured medical and specialty health insurance benefits comprising dental, vision, and other supplemental health benefits; and administrative services only products to individuals and employer groups, as well as military services, such as TRICARE T2017 East Region contract. Further, it offers pharmacy solutions, provider services, predictive modeling and informatics services, and clinical care services, such as home health and other services to its health plan members, as well as to third parties. As of December 31, 2020, the company had approximately 17 million members in medical benefit plans, as well as approximately 5 million members in specialty products. Humana Inc. was incorporated in 1964 and is headquartered in Louisville, Kentucky.",USD,Health Care,Health Care Equipment & Services,Health Care Providers & Services,NYQ,XNYS,New York Stock Exchange,United States,KY,Louisville,40202,http://www.humana.com,Large Cap,US4448591028,444859102,BBG000BLKM81,BBG000BLKK03,BBG001S5S1X6,False,231167268.53790283
VRTX,Vertex Pharmaceuticals Incorporated,"Vertex Pharmaceuticals Incorporated engages in developing and commercializing therapies for treating cystic fibrosis. The company markets SYMDEKO/SYMKEVI, ORKAMBI, and KALYDECO to treat patients with cystic fibrosis who have specific mutations in their cystic fibrosis transmembrane conductance regulator gene; and TRIKAFTA for the treatment of patients with CF 12 years of age or older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator, or CFTR, gene. Its pipeline includes Pipeline for Alpha-1 antitrypsin deficiency that is in Phase 2 clinical trial; VX-864, a second investigational small molecule corrector for the treatment of AAT deficiency, which is in Phase 1 clinical trial; and VX-147 that completed a Phase 1 clinical trial for the treatment of APOL1-mediated focal segmental glomerulosclerosis, or FSGS, and other serious kidney diseases. The company sells its products primarily to specialty pharmacy and specialty distributors in the United States, as well as specialty distributors and retail chains, and hospitals and clinics internationally. Vertex Pharmaceuticals Incorporated has collaborations with CRISPR Therapeutics AG; Arbor Biotechnologies, Inc.; Moderna, Inc.; Genomics plc; Merck KGaA; Darmstadt, Germany; X-Chem, Inc.; Janssen Pharmaceuticals, Inc.; Merck KGaA; Kymera Therapeutics; Ribometrix, Inc.; Molecular Templates, Inc.; and Affinia Therapeutics, as well as a strategic research collaboration and licensing agreement with Obsidian Therapeutics, Inc. for the discovery of novel therapies that regulate gene editing for the treatment of serious diseases. The company was founded in 1989 and is headquartered in Boston, Massachusetts.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NMS,XNAS,NASDAQ Global Select,United States,MA,Boston,2210,http://www.vrtx.com,Large Cap,,92532F100,BBG000C1S2X2,BBG000C1S2X2,BBG001S68LJ8,False,229608077.62908936
EA,Electronic Arts Inc.,"Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide. The company develops and publishes games and services across various genres, such as sports, first-person shooter, action, role-playing, and simulation primarily under the Battlefield, The Sims, Apex Legends, Need for Speed, and Plants v. Zombies brands; and license games from others, including FIFA, Madden NFL, and Star Wars brands. It also provides advertising services; and licenses its games to third parties to distribute and host its games. The company markets and sells its games and services through digital distribution and retail channels, as well as directly to mass market retailers, specialty stores, and distribution arrangements. It has a strategic partnership with KLab Inc. for game development and operation. Electronic Arts Inc. was founded in 1982 and is headquartered in Redwood City, California.",USD,Communication Services,Media & Entertainment,Interactive Media & Services,NMS,XNAS,NASDAQ Global Select,United States,CA,Redwood City,94065,http://www.ea.com,Large Cap,US2855121099,285512109,BBG000BP0WH2,BBG000BP0KQ8,BBG001S5T5C9,False,228071862.7571106
DG,Dollar General Corporation,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States. The company offers consumable products, including paper and cleaning products, such as paper towels, bath tissues, paper dinnerware, trash and storage bags, and laundry products; packaged food comprising cereals, canned soups and vegetables, condiments, spices, sugar, and flour; and perishables that include milk, eggs, bread, refrigerated and frozen food, beer, and wine. Its consumable products also comprise snacks, such as candies, cookies, crackers, salty snacks, and carbonated beverages; health and beauty products, including over-the-counter medicines and personal care products, such as soaps, body washes, shampoos, cosmetics, and dental hygiene and foot care products; pet supplies and pet food; and tobacco products. In addition, the company offers seasonal products comprising holiday items, toys, batteries, small electronics, greeting cards, stationery, prepaid phones and accessories, gardening supplies, hardware, and automotive and home office supplies; and home products that include kitchen supplies, cookware, small appliances, light bulbs, storage containers, frames, candles, craft supplies and kitchen, and bed and bath soft goods. Further, it provides apparel, which comprise casual everyday apparel for infants, toddlers, girls, boys, women, and men, as well as socks, underwear, disposable diapers, shoes, and accessories. As of February 26, 2021, Dollar General Corporation operated 17,266 stores in 46 states in the United States. The company was formerly known as J.L. Turner & Son, Inc. and changed its name to Dollar General Corporation in 1968. Dollar General Corporation was founded in 1939 and is based in Goodlettsville, Tennessee.",USD,Consumer Staples,Household & Personal Products,Household Products,NYQ,XNYS,New York Stock Exchange,United States,TN,Goodlettsville,37072,http://www.dollargeneral.com,Large Cap,US2566771059,256677105,BBG000NV1PS8,BBG000NV1KK7,BBG001T5BM30,False,222649253.44085693
TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc., together with its subsidiaries, provides mobile communications services in the United States, Puerto Rico, and the United States Virgin Islands. The company offers voice, messaging, and data services to 102.1 million customers in the postpaid, prepaid, and wholesale markets. It also provides wireless devices, including smartphones, wearables, and tablets and other mobile communication devices, as well as wireless devices and accessories. In addition, the company offers services, devices, and accessories under the T-Mobile and Metro by T-Mobile brands through its owned and operated retail stores, app and customer care channels, and its websites. It also sells its devices to dealers and other third party distributors for resale through independent third-party retail outlets and various third-party websites. As of December 31, 2020, it operated approximately 108,000 macro towers and 69,000 small cell/distributed antenna system sites; and approximately 3,400 T-Mobile and Metro by T-Mobile retail locations, including stores and kiosks. The company was founded in 1994 and is headquartered in Bellevue, Washington.",USD,Communication Services,Telecommunication Services,Diversified Telecommunication Services,NMS,XNAS,NASDAQ Global Select,United States,WA,Bellevue,98006-1350,http://www.t-mobile.com,Mega Cap,,872590104,BBG000NDV1D4,BBG000NDV1D4,BBG001SKR9Y6,False,221223119.36645508
DD,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc. provides technology-based materials, ingredients, and solutions in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. The company's Electronics & Imaging segment supplies materials to manufacture photovoltaics and solar cells; materials and printing systems to the advanced printing industry; and materials and solutions for the fabrication of semiconductors and integrated circuits addressing front-end and back-end of the manufacturing process. This segment also provides semiconductor and advanced packaging materials; dielectric and metallization solutions for chip packaging; and silicones for light emitting diode packaging and semiconductor applications; permanent and process chemistries for the fabrication of printed circuit boards to include laminates and substrates, electroless, and electrolytic metallization solutions, as well as patterning solutions, and materials and metallization processes for metal finishing, decorative, and industrial applications. In addition, it offers various materials to manufacture rigid and flexible displays for liquid crystal displays, advanced-matrix organic light emitting diode, and quantum dot applications. The Transportation & Advanced Polymers segment provides engineering resins, adhesives, silicones, lubricants, and parts to engineers and designers in the transportation, electronics, healthcare, industrial, and consumer end-markets. Its Safety & Construction segment provides engineered products and integrated systems for worker safety, water purification and separation, aerospace, energy, medical packaging, and building materials. The company was formerly known as DowDuPont Inc. and changed its name to DuPont de Nemours, Inc. in June 2019. DuPont de Nemours, Inc. is based in Wilmington, Delaware.",USD,Materials,Materials,Chemicals,NYQ,XNYS,New York Stock Exchange,United States,DE,Wilmington,19805,http://www.dupont.com,Large Cap,US26614N1028,26614N102,BBG00CCS9JW2,BBG00BN961G4,BBG00BN961H3,False,221082251.74887276
BSX,Boston Scientific Corporation,"Boston Scientific Corporation is a global medical technology leader, designing, manufacturing, and selling a wide range of medical devices used in interventional medical specialties. The company's products are used in various medical fields, including cardiology, electrophysiology, endoscopy, urology and neuromodulation. Headquartered in Marlborough, Massachusetts, Boston Scientific operates in numerous countries around the world.",USD,Health Care,Health Care Equipment & Services,,NYQ,XNYS,New York Stock Exchange,United States,,,,,Large Cap,,101137107,BBG000C0LY07,BBG000C0LW92,BBG001S63L94,False,220998949.47242737
HCA,"HCA Healthcare, Inc.","HCA Healthcare, Inc., through its subsidiaries, operates as a health care services company in the United States. The company operates general, acute care hospitals that offer medical and surgical services, including inpatient care, intensive care, cardiac care, diagnostic, and emergency services; and outpatient services, such as outpatient surgery, laboratory, radiology, respiratory therapy, cardiology, and physical therapy. It also operates psychiatric hospitals, which provide therapeutic programs comprising child, adolescent and adult psychiatric care, and adolescent and adult alcohol and drug abuse treatment and counseling. In addition, the company operates outpatient health care facilities consisting of freestanding ambulatory surgery centers, freestanding emergency care facilities, urgent care facilities, walk-in clinics, diagnostic and imaging centers, rehabilitation and physical therapy centers, radiation and oncology therapy centers, physician practices, and various other facilities. As of December 31, 2020, it operated 185 hospitals, which included 178 general, acute care hospitals, as well as five psychiatric hospitals and two rehabilitation hospitals; 121 freestanding surgery centers; and 21 freestanding endoscopy centers in 20 states and England. The company was formerly known as HCA Holdings, Inc. HCA Healthcare, Inc. was founded in 1968 and is headquartered in Nashville, Tennessee.",USD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,NYQ,XNYS,New York Stock Exchange,United States,TN,Nashville,37203,http://www.hcahealthcare.com,Large Cap,US40412C1018,40412C101,BBG000QW7X64,BBG000QW7VC1,BBG001T8NTY2,False,218167786.55471802
CCL,Carnival Corporation & plc,"Carnival Corporation & plc operates as a leisure travel company. Its ships visit approximately 700 ports under the Carnival Cruise Line, Princess Cruises, Holland America Line, P&O Cruises (Australia), Seabourn, Costa Cruises, AIDA Cruises, P&O Cruises (UK), and Cunard brand names. The company also provides port destinations and other services, as well as owns and operates hotels, lodges, glass-domed railcars, and motor coaches. It sells its cruises primarily through travel agents and tour operators. The company operates in the United States, Canada, Continental Europe, the United Kingdom, Australia, New Zealand, Asia, and internationally. It operates 87 ships with 223,000 lower berths. The company was incorporated in 1972 and is headquartered in Miami, Florida.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NYQ,XNYS,New York Stock Exchange,United States,FL,Miami,33178-2428,http://www.carnivalcorp.com,Large Cap,GB0031215220,,BBG000BF6PR2,BBG000BF6LY3,BBG001S5PL01,False,214256982.41624832
SHW,Sherwin-Williams Company,"The Sherwin-Williams Company develops, manufactures, distributes, and sells paints, coatings, and related products to professional, industrial, commercial, and retail customers. It operates in three segments: The Americas Group, Consumer Brands Group, and Performance Coatings Group. The Americas Group segment offers architectural paints and coatings, and protective and marine products, as well as OEM product finishes and related products for architectural and industrial paint contractors, and do-it-yourself homeowners. The Consumer Brands Group segment provides branded and private-label architectural paints, stains, varnishes, industrial products, wood finishes products, wood preservatives, applicators, corrosion inhibitors, aerosols, caulks, and adhesives to retailers and distributors. The Performance Coatings Group segment develops and sells industrial coatings for wood finishing and general industrial applications, automotive refinish products, protective and marine coatings, coil coatings, packaging coatings, and performance-based resins and colorants. It serves retailers, dealers, jobbers, licensees, and other third-party distributors through its branches and direct sales staff, as well as through outside sales representatives. The company has operations primarily in North and South America, the Caribbean, Europe, Asia, and Australia. As of December 31, 2021, it operated 4,774 company-operated stores. The Sherwin-Williams Company was founded in 1866 and is headquartered in Cleveland, Ohio.",USD,Materials,Materials,Chemicals,NYQ,XNYS,New York Stock Exchange,United States,OH,Cleveland,44115-1075,http://www.sherwin-williams.com,Large Cap,US8243481061,824348106,BBG000BSXT78,BBG000BSXQV7,BBG001S5W2F9,False,213238917.12226868
BLK,"BlackRock, Inc.","BlackRock, Inc. is a publicly owned investment manager. The firm primarily provides its services to institutional, intermediary, and individual investors including corporate, public, union, and industry pension plans, insurance companies, third-party mutual funds, endowments, public institutions, governments, foundations, charities, sovereign wealth funds, corporations, official institutions, and banks. It also provides global risk management and advisory services. The firm manages separate client-focused equity, fixed income, and balanced portfolios. It also launches and manages open-end and closed-end mutual funds, offshore funds, unit trusts, and alternative investment vehicles including structured funds. The firm launches equity, fixed income, balanced, and real estate mutual funds. It also launches equity, fixed income, balanced, currency, commodity, and multi-asset exchange traded funds. The firm also launches and manages hedge funds. It invests in the public equity, fixed income, real estate, currency, commodity, and alternative markets across the globe. The firm primarily invests in growth and value stocks of small-cap, mid-cap, SMID-cap, large-cap, and multi-cap companies. It also invests in dividend-paying equity securities. The firm invests in investment grade municipal securities, government securities including securities issued or guaranteed by a government or a government agency or instrumentality, corporate bonds, and asset-backed and mortgage-backed securities. It employs fundamental and quantitative analysis with a focus on bottom-up and top-down approach to make its investments. The firm employs liquidity, asset allocation, balanced, real estate, and alternative strategies to make its investments. In real estate sector, it seeks to invest in Poland and Germany. The firm benchmarks the performance of its portfolios against various S&P, Russell, Barclays, MSCI, Citigroup, and Merrill Lynch indices. BlackRock, Inc. was founded in 1988 and is based in New York City with additional offices in Boston, Massachusetts; London, United Kingdom; Gurgaon, India; Hong Kong; Greenwich, Connecticut; Princeton, New Jersey; Edinburgh, United Kingdom; Sydney, Australia; Taipei, Taiwan; Singapore; Sao Paulo, Brazil; Philadelphia, Pennsylvania; Washington, District of Columbia; Toronto, Canada; Wilmington, Delaware; and San Francisco, California.",USD,Financials,Diversified Financials,Capital Markets,NYQ,XNYS,New York Stock Exchange,United States,NY,New York,10055,http://www.blackrock.com,Large Cap,US09247X1019,09290D101,BBG000C2PYL6,BBG000C2PW58,BBG001SDBP55,False,212875601.8890381
MCK,McKesson Corporation,"McKesson Corporation provides pharmaceuticals and medical supplies in the United States and internationally. It operates through four segments: U.S. Pharmaceutical, Prescription Technology Solutions, International, and Medical-Surgical Solutions. The U.S. Pharmaceutical segment distributes branded, generic, specialty, biosimilar, and over-the-counter pharmaceutical drugs and other healthcare-related products. This segment provides practice management, technology, clinical support, and business solutions to community-based oncology and other specialty practices; and solutions for life sciences companies, including offering multiple distribution channels and clinical trial access to specific patient populations through its network of oncology physicians. The segment also sells financial, operational and clinical solutions to pharmacies; and offers consulting, outsourcing, and other services. The Prescription Technology Solutions segment operates in the healthcare delivery system to connect pharmacies, providers, payers, and biopharma for next-generation patient access and adherence solutions. The International segment provides drug distribution services, specialty pharmacy, and retail and infusion care services. The Medical-Surgical Solutions segment distributes medical-surgical supplies and provides logistics and other services to healthcare providers. McKesson Corporation was founded in 1833 and is headquartered in Irving, Texas.",USD,Health Care,Health Care Equipment & Services,Health Care Providers & Services,NYQ,XNYS,New York Stock Exchange,United States,TX,Irving,75039,http://www.mckesson.com,Large Cap,US58155Q1031,58155Q103,BBG000DYGRD9,BBG000DYGNW7,BBG001S8F8P8,False,211724408.18328857
HPQ,HP Inc.,"HP Inc. provides personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services in the United States and internationally. The company operates through three segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktop and notebook personal computers, workstations, thin clients, commercial mobility devices, retail point-of-sale systems, displays and other related accessories, software, support, and services. The Printing segment provides consumer and commercial printer hardware, supplies, solutions, and services, as well as scanning devices. The Corporate Investments segment includes HP Labs and business incubation projects. HP Inc. serves individual consumers, small- and medium-sized businesses, and large enterprises, including customers in the government, health, and education sectors. The company was formerly known as Hewlett-Packard Company and changed its name to HP Inc. in October 2015. HP Inc. was founded in 1939 and is headquartered in Palo Alto, California.",USD,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",NYQ,XNYS,New York Stock Exchange,United States,CA,Palo Alto,94304,http://www8.hp.com,Large Cap,,40434L105,BBG000KHWT55,BBG000KHWT55,BBG001S6W7N7,False,211481537.06207275
MO,"Altria Group, Inc.","Altria Group, Inc., through its subsidiaries, manufactures and sells cigarettes, oral tobacco products, and wine in the United States. It offers cigarettes primarily under the Marlboro brand; cigars principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. The company also produces and sells varietal and blended table wines, and sparkling wines under the Chateau Ste. Michelle and 14 Hands names; and imports and markets Antinori, Torres, and Villa Maria Estate wines, as well as Champagne Nicolas Feuillatte in the United States. In addition, it provides finance leasing services primarily in transportation, power generation, real estate, and manufacturing equipment industries. The company sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.",USD,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,NYQ,XNYS,New York Stock Exchange,United States,VA,Richmond,23230,http://www.altria.com,Large Cap,US02209S1033,02209S103,BBG000BP6MW1,BBG000BP6LJ8,BBG001S5T8T5,False,211472082.33795166
MAR,"Marriott International, Inc. Class A","Marriott International, Inc. operates, franchises, and licenses hotel, residential, and timeshare properties worldwide. The company operates through North American Full-Service, North American Limited-Service, and Asia Pacific segments. It operates its properties under the JW Marriott, The Ritz-Carlton, Ritz-Carlton Reserve, W Hotels, The Luxury Collection, St. Regis, EDITION, Bulgari, Marriott Hotels, Sheraton, Delta Hotels, Marriott Executive Apartments, Marriott Vacation Club, Westin, Renaissance, Le MÃ©ridien, Autograph Collection, Gaylord Hotels, Tribute Portfolio, Design Hotels, Courtyard, Residence Inn, Fairfield by Marriott, SpringHill Suites, Four Points, TownePlace Suites, Aloft, AC Hotels by Marriott, Protea Hotels, Element, and Moxy brand names. As of February 23, 2021, it operated approximately 7,600 properties under 30 hotel brands in 133 countries and territories. Marriott International, Inc. was founded in 1927 and is headquartered in Bethesda, Maryland.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NMS,XNAS,NASDAQ Global Select,United States,MD,Bethesda,20817,http://www.marriott.com,Large Cap,US5719032022,571903202,BBG000BGDJN0,BBG000BGD7W6,BBG001S78K44,False,208992702.24952698
ADSK,"Autodesk, Inc.","Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and Shotgun, a cloud-based software for review and production tracking in the media and entertainment industry. In addition, the company offers PlanGrid, a cloud-based field collaboration software, which provides general contractors, subcontractors, owners, and architects access to construction information in real-time; Revit software for building information modeling; and BuildingConnected, a bid-management solution. Autodesk, Inc. sells its products and services to customers directly, as well as through a network of resellers and distributors. The company was founded in 1982 and is headquartered in San Rafael, California.",USD,Information Technology,Software & Services,Software,NMS,XNAS,NASDAQ Global Select,United States,CA,San Rafael,94903,http://www.autodesk.com,Large Cap,US0527691069,052769106,BBG000BM7TD3,BBG000BM7HL0,BBG001S5SCD4,False,207410030.4840088
MET,"MetLife, Inc.","MetLife, Inc., a financial services company, provides insurance, annuities, employee benefits, and asset management services worldwide. It operates through five segments: U.S.; Asia; Latin America; Europe, the Middle East and Africa; and MetLife Holdings. The company offers life, dental, group short-and long-term disability, individual disability, accidental death and dismemberment, vision, and accident and health coverages, as well as prepaid legal plans; administrative services-only arrangements to employers; and general and separate account, and synthetic guaranteed interest contracts, as well as private floating rate funding agreements. It also provides pension risk transfers, institutional income annuities, structured settlements, and capital markets investment products; and other products and services, such as life insurance products and funding agreements for funding postretirement benefits, as well as company, bank, or trust-owned life insurance used to finance nonqualified benefit programs for executives. In addition, the company offers personal lines of property and casualty insurance, including private passenger automobile, homeowners', and personal excess liability insurance. Further, it provides fixed and variable annuities, and pension products; accident and health products; regular savings products; whole and term life, endowments, universal and variable life, and group life products; credit insurance products; and protection against long-term health care services. MetLife, Inc. was founded in 1863 and is headquartered in New York, New York.",USD,Financials,Insurance,Insurance,NYQ,XNYS,New York Stock Exchange,United States,NY,New York,10166-0188,http://www.metlife.com,Large Cap,,59156R108,BBG000BB6MF1,BBG000BB6KF5,BBG001S5T3R8,False,206006497.26409912
WYNN,"Wynn Resorts, Limited","Wynn Resorts, Limited designs, develops, and operates integrated resorts. Its Wynn Palace segment operates 424,000 square feet of casino space with 323 table games, 1,066 slot machines, private gaming salons, and sky casinos; a luxury hotel tower with 1,706 guest rooms, suites, and villas, including a health club, spa, salon, and pool; 14 food and beverage outlets; 107,000 square feet of retail space; 37,000 square feet of meeting and convention space; and performance lake and floral art displays. Its Wynn Macau segment operates 252,000 square feet of casino space with 331 table games, 896 slot machines, private gaming salons, sky casinos, and a poker room; two luxury hotel towers with 1,010 guest rooms and suites that include two health clubs, two spas, a salon, and a pool; 12 food and beverage outlets; 59,000 square feet of retail space; 31,000 square feet of meeting and convention space; and Chinese zodiac-inspired ceiling attractions. Its Las Vegas Operations segment operates 194,000 square feet of casino space with 209 table games, 1,737 slot machines, private gaming salons, a sky casino, a poker room, and a race and sports book; two luxury hotel towers with 4,748 guest rooms, suites, and villas, including swimming pools, private cabanas, two full service spas and salons, and a wedding chapel; 31 food and beverage outlets; 513,000 square feet of meeting and convention space; 152,000 square feet of retail space; and two theaters, three nightclubs and a beach club. Its Encore Boston Harbor segment operates 208,000 square feet of casino space with 198 table games, 1,890 slot machines, gaming areas, and a poker room; a luxury hotel tower with 671 guest rooms and suites, including a spa and salon; 16 food and beverage outlets and a nightclub; 8,000 square feet of retail space; 71,000 square feet of meeting and convention space; and a waterfront park, floral displays, and water shuttle service. The company was founded in 2002 and is based in Las Vegas, Nevada.",USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",NMS,XNAS,NASDAQ Global Select,United States,NV,Las Vegas,89109,http://www.wynnresorts.com,Large Cap,US9831341071,983134107,BBG000LD9X14,BBG000LD9JQ8,BBG001SJZ2V8,False,205418317.26837158
